Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
1,storm-core/src/jvm/backtype/storm/Config.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/ConfigValidation.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/Constants.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/ILocalCluster.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/ILocalDRPC.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/StormSubmitter.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/clojure/ClojureBolt.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/clojure/ClojureSpout.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/clojure/RichShellBolt.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/clojure/RichShellSpout.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/coordination/BatchBoltExecutor.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollector.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/coordination/IBatchBolt.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/daemon/Shutdownable.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/drpc/JoinResult.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/drpc/KeyedFairBolt.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/drpc/PrepareRequest.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/drpc/ReturnResults.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/AlreadyAliveException.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/Bolt.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/BoltStats.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/ComponentCommon.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/ComponentObject.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/DRPCExecutionException.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/DRPCRequest.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/DistributedRPC.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/DistributedRPCInvocations.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/ErrorInfo.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/ExecutorInfo.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/ExecutorSpecificStats.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/ExecutorStats.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/ExecutorSummary.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/GlobalStreamId.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/Grouping.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/InvalidTopologyException.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/JavaObject.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/JavaObjectArg.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/KillOptions.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/Nimbus.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/NotAliveException.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/RebalanceOptions.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/ShellComponent.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/SpoutSpec.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/SpoutStats.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/StormTopology.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/StreamInfo.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/TopologyInitialStatus.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/generated/TopologySummary.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/hooks/BaseTaskHook.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/hooks/ITaskHook.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/hooks/info/BoltAckInfo.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/hooks/info/BoltExecuteInfo.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/hooks/info/BoltFailInfo.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/hooks/info/EmitInfo.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/hooks/info/SpoutAckInfo.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/hooks/info/SpoutFailInfo.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/messaging/IConnection.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/messaging/IContext.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/messaging/TaskMessage.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/messaging/TransportFactory.java,1,0,0,0,0,0,0,0,0,No
1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/messaging/netty/ControlMessage.java,1,0,0,0,0,0,0,0,0,Yes
1,storm-core/src/jvm/backtype/storm/messaging/netty/MessageBatch.java,1,0,0,0,0,0,0,0,0,Yes
