Dataset,#TrainingRelease,%Training,%TrainDefective,%TestDefective,Classifier,Sampling,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper,1,0.060,0.421,0.575,Naive Bayes,No Sampling,No Selection,38.000,6.000,159.000,100.000,0.864,0.275,0.579,0.253
bookkeeper,1,0.060,0.421,0.575,Naive Bayes,No Sampling,Backward Selection,38.000,6.000,159.000,100.000,0.864,0.275,0.656,0.253
bookkeeper,1,0.060,0.421,0.575,Naive Bayes,Oversampling,No Selection,40.000,8.000,157.000,98.000,0.833,0.290,0.727,0.255
bookkeeper,1,0.060,0.421,0.575,Naive Bayes,Oversampling,Backward Selection,44.000,14.000,151.000,94.000,0.759,0.319,0.647,0.246
bookkeeper,1,0.060,0.421,0.575,Naive Bayes,Undersampling,No Selection,42.000,10.000,155.000,96.000,0.808,0.304,0.739,0.257
bookkeeper,1,0.060,0.421,0.575,Naive Bayes,Undersampling,Backward Selection,40.000,8.000,157.000,98.000,0.833,0.290,0.650,0.255
bookkeeper,1,0.060,0.421,0.575,Naive Bayes,SMOTE,No Selection,44.000,11.000,154.000,94.000,0.800,0.319,0.726,0.265
bookkeeper,1,0.060,0.421,0.575,Naive Bayes,SMOTE,Backward Selection,47.000,14.000,151.000,91.000,0.770,0.341,0.655,0.268
bookkeeper,1,0.060,0.421,0.575,Random Forest,No Sampling,No Selection,50.000,9.000,156.000,88.000,0.847,0.362,0.656,0.323
bookkeeper,1,0.060,0.421,0.575,Random Forest,No Sampling,Backward Selection,50.000,9.000,156.000,88.000,0.847,0.362,0.656,0.323
bookkeeper,1,0.060,0.421,0.575,Random Forest,Oversampling,No Selection,44.000,15.000,150.000,94.000,0.746,0.319,0.623,0.239
bookkeeper,1,0.060,0.421,0.575,Random Forest,Oversampling,Backward Selection,51.000,14.000,151.000,87.000,0.785,0.370,0.648,0.298
bookkeeper,1,0.060,0.421,0.575,Random Forest,Undersampling,No Selection,53.000,11.000,154.000,85.000,0.828,0.384,0.674,0.332
bookkeeper,1,0.060,0.421,0.575,Random Forest,Undersampling,Backward Selection,50.000,13.000,152.000,88.000,0.794,0.362,0.653,0.297
bookkeeper,1,0.060,0.421,0.575,Random Forest,SMOTE,No Selection,128.000,145.000,20.000,10.000,0.469,0.928,0.664,0.045
bookkeeper,1,0.060,0.421,0.575,Random Forest,SMOTE,Backward Selection,127.000,144.000,21.000,11.000,0.469,0.920,0.654,0.044
bookkeeper,1,0.060,0.421,0.575,IBk,No Sampling,No Selection,51.000,10.000,155.000,87.000,0.836,0.370,0.660,0.324
bookkeeper,1,0.060,0.421,0.575,IBk,No Sampling,Backward Selection,51.000,10.000,155.000,87.000,0.836,0.370,0.659,0.324
bookkeeper,1,0.060,0.421,0.575,IBk,Oversampling,No Selection,44.000,15.000,150.000,94.000,0.746,0.319,0.587,0.239
bookkeeper,1,0.060,0.421,0.575,IBk,Oversampling,Backward Selection,51.000,14.000,151.000,87.000,0.785,0.370,0.642,0.298
bookkeeper,1,0.060,0.421,0.575,IBk,Undersampling,No Selection,54.000,12.000,153.000,84.000,0.818,0.391,0.671,0.333
bookkeeper,1,0.060,0.421,0.575,IBk,Undersampling,Backward Selection,51.000,14.000,151.000,87.000,0.785,0.370,0.641,0.298
bookkeeper,1,0.060,0.421,0.575,IBk,SMOTE,No Selection,128.000,145.000,20.000,10.000,0.469,0.928,0.648,0.045
bookkeeper,1,0.060,0.421,0.575,IBk,SMOTE,Backward Selection,127.000,144.000,21.000,11.000,0.469,0.920,0.652,0.044
bookkeeper,2,0.136,0.440,0.333,Naive Bayes,No Sampling,No Selection,138.000,41.000,236.000,43.000,0.771,0.762,0.879,0.616
bookkeeper,2,0.136,0.440,0.333,Naive Bayes,No Sampling,Backward Selection,68.000,22.000,255.000,113.000,0.756,0.376,0.792,0.325
bookkeeper,2,0.136,0.440,0.333,Naive Bayes,Oversampling,No Selection,125.000,38.000,239.000,56.000,0.767,0.691,0.874,0.563
bookkeeper,2,0.136,0.440,0.333,Naive Bayes,Oversampling,Backward Selection,76.000,26.000,251.000,105.000,0.745,0.420,0.791,0.353
bookkeeper,2,0.136,0.440,0.333,Naive Bayes,Undersampling,No Selection,139.000,39.000,238.000,42.000,0.781,0.768,0.880,0.629
bookkeeper,2,0.136,0.440,0.333,Naive Bayes,Undersampling,Backward Selection,69.000,25.000,252.000,112.000,0.734,0.381,0.791,0.317
bookkeeper,2,0.136,0.440,0.333,Naive Bayes,SMOTE,No Selection,154.000,43.000,234.000,27.000,0.782,0.851,0.878,0.685
bookkeeper,2,0.136,0.440,0.333,Naive Bayes,SMOTE,Backward Selection,85.000,33.000,244.000,96.000,0.720,0.470,0.810,0.373
bookkeeper,2,0.136,0.440,0.333,Random Forest,No Sampling,No Selection,135.000,64.000,213.000,46.000,0.678,0.746,0.809,0.506
bookkeeper,2,0.136,0.440,0.333,Random Forest,No Sampling,Backward Selection,131.000,48.000,229.000,50.000,0.732,0.724,0.799,0.552
bookkeeper,2,0.136,0.440,0.333,Random Forest,Oversampling,No Selection,125.000,65.000,212.000,56.000,0.658,0.691,0.791,0.452
bookkeeper,2,0.136,0.440,0.333,Random Forest,Oversampling,Backward Selection,120.000,49.000,228.000,61.000,0.710,0.663,0.759,0.492
bookkeeper,2,0.136,0.440,0.333,Random Forest,Undersampling,No Selection,142.000,78.000,199.000,39.000,0.645,0.785,0.780,0.485
bookkeeper,2,0.136,0.440,0.333,Random Forest,Undersampling,Backward Selection,131.000,64.000,213.000,50.000,0.672,0.724,0.754,0.486
bookkeeper,2,0.136,0.440,0.333,Random Forest,SMOTE,No Selection,158.000,95.000,182.000,23.000,0.625,0.873,0.808,0.496
bookkeeper,2,0.136,0.440,0.333,Random Forest,SMOTE,Backward Selection,135.000,53.000,224.000,46.000,0.718,0.746,0.773,0.551
bookkeeper,2,0.136,0.440,0.333,IBk,No Sampling,No Selection,110.000,79.000,198.000,71.000,0.582,0.608,0.596,0.320
bookkeeper,2,0.136,0.440,0.333,IBk,No Sampling,Backward Selection,126.000,50.000,227.000,55.000,0.716,0.696,0.735,0.518
bookkeeper,2,0.136,0.440,0.333,IBk,Oversampling,No Selection,123.000,69.000,208.000,58.000,0.641,0.680,0.641,0.426
bookkeeper,2,0.136,0.440,0.333,IBk,Oversampling,Backward Selection,118.000,47.000,230.000,63.000,0.715,0.652,0.697,0.490
bookkeeper,2,0.136,0.440,0.333,IBk,Undersampling,No Selection,115.000,87.000,190.000,66.000,0.569,0.635,0.603,0.315
bookkeeper,2,0.136,0.440,0.333,IBk,Undersampling,Backward Selection,128.000,64.000,213.000,53.000,0.667,0.707,0.701,0.471
bookkeeper,2,0.136,0.440,0.333,IBk,SMOTE,No Selection,117.000,108.000,169.000,64.000,0.520,0.646,0.576,0.246
bookkeeper,2,0.136,0.440,0.333,IBk,SMOTE,Backward Selection,132.000,53.000,224.000,49.000,0.714,0.729,0.740,0.536
bookkeeper,3,0.251,0.420,0.181,Naive Bayes,No Sampling,No Selection,118.000,28.000,249.000,63.000,0.808,0.652,0.882,0.570
bookkeeper,3,0.251,0.420,0.181,Naive Bayes,No Sampling,Backward Selection,120.000,32.000,245.000,61.000,0.789,0.663,0.888,0.563
bookkeeper,3,0.251,0.420,0.181,Naive Bayes,Oversampling,No Selection,127.000,31.000,246.000,54.000,0.804,0.702,0.880,0.603
bookkeeper,3,0.251,0.420,0.181,Naive Bayes,Oversampling,Backward Selection,123.000,34.000,243.000,58.000,0.783,0.680,0.884,0.570
bookkeeper,3,0.251,0.420,0.181,Naive Bayes,Undersampling,No Selection,120.000,31.000,246.000,61.000,0.795,0.663,0.885,0.567
bookkeeper,3,0.251,0.420,0.181,Naive Bayes,Undersampling,Backward Selection,121.000,34.000,243.000,60.000,0.781,0.669,0.889,0.560
bookkeeper,3,0.251,0.420,0.181,Naive Bayes,SMOTE,No Selection,131.000,32.000,245.000,50.000,0.804,0.724,0.879,0.619
bookkeeper,3,0.251,0.420,0.181,Naive Bayes,SMOTE,Backward Selection,146.000,42.000,235.000,35.000,0.777,0.807,0.887,0.651
bookkeeper,3,0.251,0.420,0.181,Random Forest,No Sampling,No Selection,163.000,1.000,276.000,18.000,0.994,0.901,0.970,0.912
bookkeeper,3,0.251,0.420,0.181,Random Forest,No Sampling,Backward Selection,158.000,4.000,273.000,23.000,0.975,0.873,0.954,0.874
bookkeeper,3,0.251,0.420,0.181,Random Forest,Oversampling,No Selection,157.000,16.000,261.000,24.000,0.908,0.867,0.950,0.816
bookkeeper,3,0.251,0.420,0.181,Random Forest,Oversampling,Backward Selection,157.000,10.000,267.000,24.000,0.940,0.867,0.950,0.843
bookkeeper,3,0.251,0.420,0.181,Random Forest,Undersampling,No Selection,165.000,16.000,261.000,16.000,0.912,0.912,0.963,0.854
bookkeeper,3,0.251,0.420,0.181,Random Forest,Undersampling,Backward Selection,158.000,13.000,264.000,23.000,0.924,0.873,0.943,0.834
bookkeeper,3,0.251,0.420,0.181,Random Forest,SMOTE,No Selection,163.000,1.000,276.000,18.000,0.994,0.901,0.972,0.912
bookkeeper,3,0.251,0.420,0.181,Random Forest,SMOTE,Backward Selection,160.000,7.000,270.000,21.000,0.958,0.884,0.957,0.870
bookkeeper,3,0.251,0.420,0.181,IBk,No Sampling,No Selection,163.000,1.000,276.000,18.000,0.994,0.901,0.983,0.912
bookkeeper,3,0.251,0.420,0.181,IBk,No Sampling,Backward Selection,160.000,6.000,271.000,21.000,0.964,0.884,0.960,0.875
bookkeeper,3,0.251,0.420,0.181,IBk,Oversampling,No Selection,155.000,18.000,259.000,26.000,0.896,0.856,0.921,0.797
bookkeeper,3,0.251,0.420,0.181,IBk,Oversampling,Backward Selection,155.000,11.000,266.000,26.000,0.934,0.856,0.932,0.829
bookkeeper,3,0.251,0.420,0.181,IBk,Undersampling,No Selection,166.000,14.000,263.000,15.000,0.922,0.917,0.965,0.867
bookkeeper,3,0.251,0.420,0.181,IBk,Undersampling,Backward Selection,160.000,15.000,262.000,21.000,0.914,0.884,0.946,0.835
bookkeeper,3,0.251,0.420,0.181,IBk,SMOTE,No Selection,166.000,5.000,272.000,15.000,0.971,0.917,0.983,0.908
bookkeeper,3,0.251,0.420,0.181,IBk,SMOTE,Backward Selection,160.000,7.000,270.000,21.000,0.958,0.884,0.958,0.870
bookkeeper,4,0.365,0.412,0.071,Naive Bayes,No Sampling,No Selection,87.000,17.000,471.000,16.000,0.837,0.845,0.954,0.807
bookkeeper,4,0.365,0.412,0.071,Naive Bayes,No Sampling,Backward Selection,88.000,22.000,466.000,15.000,0.800,0.854,0.954,0.788
bookkeeper,4,0.365,0.412,0.071,Naive Bayes,Oversampling,No Selection,87.000,17.000,471.000,16.000,0.837,0.845,0.958,0.807
bookkeeper,4,0.365,0.412,0.071,Naive Bayes,Oversampling,Backward Selection,89.000,25.000,463.000,14.000,0.781,0.864,0.952,0.780
bookkeeper,4,0.365,0.412,0.071,Naive Bayes,Undersampling,No Selection,87.000,18.000,470.000,16.000,0.829,0.845,0.957,0.802
bookkeeper,4,0.365,0.412,0.071,Naive Bayes,Undersampling,Backward Selection,89.000,18.000,470.000,14.000,0.832,0.864,0.954,0.815
bookkeeper,4,0.365,0.412,0.071,Naive Bayes,SMOTE,No Selection,89.000,19.000,469.000,14.000,0.824,0.864,0.967,0.810
bookkeeper,4,0.365,0.412,0.071,Naive Bayes,SMOTE,Backward Selection,89.000,24.000,464.000,14.000,0.788,0.864,0.954,0.785
bookkeeper,4,0.365,0.412,0.071,Random Forest,No Sampling,No Selection,92.000,37.000,451.000,11.000,0.713,0.893,0.929,0.743
bookkeeper,4,0.365,0.412,0.071,Random Forest,No Sampling,Backward Selection,92.000,41.000,447.000,11.000,0.692,0.893,0.928,0.726
bookkeeper,4,0.365,0.412,0.071,Random Forest,Oversampling,No Selection,89.000,32.000,456.000,14.000,0.736,0.864,0.932,0.747
bookkeeper,4,0.365,0.412,0.071,Random Forest,Oversampling,Backward Selection,93.000,42.000,446.000,10.000,0.689,0.903,0.926,0.728
bookkeeper,4,0.365,0.412,0.071,Random Forest,Undersampling,No Selection,92.000,44.000,444.000,11.000,0.676,0.893,0.931,0.713
bookkeeper,4,0.365,0.412,0.071,Random Forest,Undersampling,Backward Selection,92.000,43.000,445.000,11.000,0.681,0.893,0.938,0.717
bookkeeper,4,0.365,0.412,0.071,Random Forest,SMOTE,No Selection,93.000,44.000,444.000,10.000,0.679,0.903,0.942,0.719
