Dataset,#TrainingRelease,%Training,%TrainDefective,%TestDefective,Classifier,Sampling,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
storm,1,0.027,0.236,0.236,Naive Bayes,No Sampling,No Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.495,0.000
storm,1,0.027,0.236,0.236,Naive Bayes,No Sampling,Backward Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
storm,1,0.027,0.236,0.236,Naive Bayes,Oversampling,No Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
storm,1,0.027,0.236,0.236,Naive Bayes,Oversampling,Backward Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
storm,1,0.027,0.236,0.236,Naive Bayes,Undersampling,No Selection,106.000,343.000,0.000,0.000,0.236,1.000,0.500,0.000
storm,1,0.027,0.236,0.236,Naive Bayes,Undersampling,Backward Selection,106.000,343.000,0.000,0.000,0.236,1.000,0.500,0.000
storm,1,0.027,0.236,0.236,Naive Bayes,SMOTE,No Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.505,0.000
storm,1,0.027,0.236,0.236,Naive Bayes,SMOTE,Backward Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
storm,1,0.027,0.236,0.236,Random Forest,No Sampling,No Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
storm,1,0.027,0.236,0.236,Random Forest,No Sampling,Backward Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
storm,1,0.027,0.236,0.236,Random Forest,Oversampling,No Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
storm,1,0.027,0.236,0.236,Random Forest,Oversampling,Backward Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
storm,1,0.027,0.236,0.236,Random Forest,Undersampling,No Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
storm,1,0.027,0.236,0.236,Random Forest,Undersampling,Backward Selection,106.000,343.000,0.000,0.000,0.236,1.000,0.500,0.000
storm,1,0.027,0.236,0.236,Random Forest,SMOTE,No Selection,0.000,0.000,343.000,106.000,NaN,0.000,0.500,0.000
