@relation bookkeeper_release_7-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
4,0,94,244,0,0,0,0,0,No
4,1,94,267,3,1,10,10,10,No
4,1,94,470,3,1,10,10,10,No
4,0,109,0,0,0,0,0,0,No
4,0,109,299,0,0,0,0,0,No
4,0,94,131,0,0,0,0,0,No
4,1,109,1657,17,45,11,11,11,Yes
4,0,101,0,0,0,0,0,0,No
4,0,109,327,0,0,0,0,0,No
4,0,101,0,0,0,0,0,0,No
4,1,83,2165,4,1,11,11,11,No
4,0,109,287,0,0,0,0,0,No
3,1,37,93,2,1,0,0,0,No
4,0,94,452,0,0,0,0,0,No
4,0,109,1249,0,0,0,0,0,Yes
4,0,94,40,0,0,0,0,0,No
4,0,109,579,0,0,0,0,0,No
4,0,99,388,0,0,0,0,0,No
4,0,56,49,0,0,0,0,0,No
4,0,94,595,0,0,0,0,0,No
4,0,94,32,0,0,0,0,0,No
4,0,94,73,0,0,0,0,0,Yes
2,0,14,673,0,0,0,0,0,Yes
2,0,14,721,0,0,0,0,0,No
4,1,91,664,5,9,11,11,11,Yes
4,1,91,1199,6,2,9,9,9,No
4,0,101,306,0,0,0,0,0,No
4,0,109,117,0,0,0,0,0,No
4,0,101,0,0,0,0,0,0,No
4,0,94,238,0,0,0,0,0,No
4,0,101,0,0,0,0,0,0,No
4,0,109,93,0,0,0,0,0,No
4,0,94,182,0,0,0,0,0,No
4,0,94,53,0,0,0,0,0,No
4,1,65,424,4,2,11,11,11,No
4,0,109,332,0,0,0,0,0,No
4,0,91,278,0,0,0,0,0,Yes
3,0,37,85,0,0,0,0,0,No
4,0,109,0,0,0,0,0,0,No
4,1,83,48,1,1,11,11,11,No
4,0,83,42,0,0,0,0,0,No
4,0,56,293,0,0,0,0,0,No
2,0,33,214,0,0,0,0,0,No
4,0,109,304,0,0,0,0,0,No
4,0,109,489,0,0,0,0,0,No
4,0,109,1511,0,0,0,0,0,No
4,0,109,1703,0,0,0,0,0,No
4,0,109,67,0,0,0,0,0,No
2,0,21,35,0,0,0,0,0,No
4,0,109,0,0,0,0,0,0,No
2,0,30,226,0,0,0,0,0,No
4,0,109,0,0,0,0,0,0,No
4,0,109,257,0,0,0,0,0,No
