Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,4,0,113,244,0,0,0,0,0,No
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,4,0,113,267,0,0,0,0,0,No
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,4,0,113,470,0,0,0,0,0,No
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,4,0,127,0,0,0,0,0,0,No
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,4,0,127,299,0,0,0,0,0,No
8,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,4,0,113,131,0,0,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,4,1,127,1657,18,7,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,4,0,120,0,0,0,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieCriticalThread.java,3,0,19,45,0,0,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,4,0,127,327,0,0,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,4,0,120,0,0,0,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,4,1,102,2165,5,442,2,2,2,Yes
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieThread.java,3,0,33,57,0,0,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,4,0,127,287,0,0,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannelBase.java,3,0,16,58,0,0,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedReadChannel.java,3,0,16,107,0,0,0,0,0,No
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/CheckpointSource.java,3,0,56,93,0,0,0,0,0,No
