@relation storm_release_3-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
7,0,17,72,0,0,0,0,0,No
9,2,24,0,2,2,1,1,1,Yes
9,1,24,0,1,17,1,1,1,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,No
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
9,0,24,0,0,0,0,0,0,Yes
