Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
3,storm-buildtools/maven-shade-clojure-transformer/src/main/java/org/apache/storm/maven/shade/clojure/ClojureTransformer.java,7,0,17,72,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/Config.java,9,2,24,0,2,2,1,1,1,Yes
3,storm-core/src/jvm/backtype/storm/ConfigValidation.java,9,1,24,0,1,17,1,1,1,Yes
3,storm-core/src/jvm/backtype/storm/Constants.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/ILocalCluster.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/ILocalDRPC.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/StormSubmitter.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/clojure/ClojureBolt.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/clojure/ClojureSpout.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/clojure/RichShellBolt.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/clojure/RichShellSpout.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/coordination/BatchBoltExecutor.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollector.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/coordination/IBatchBolt.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/daemon/Shutdownable.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/drpc/JoinResult.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/drpc/KeyedFairBolt.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/drpc/PrepareRequest.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/drpc/ReturnResults.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/AlreadyAliveException.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/Bolt.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/BoltStats.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/ComponentCommon.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/ComponentObject.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/DRPCExecutionException.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/DRPCRequest.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/DistributedRPC.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/DistributedRPCInvocations.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/ErrorInfo.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/ExecutorInfo.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/ExecutorSpecificStats.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/ExecutorStats.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/ExecutorSummary.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/GlobalStreamId.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/Grouping.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/InvalidTopologyException.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/JavaObject.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/JavaObjectArg.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/KillOptions.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/Nimbus.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/NotAliveException.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/RebalanceOptions.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/ShellComponent.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/SpoutSpec.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/SpoutStats.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/StormTopology.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/StreamInfo.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/TopologyInitialStatus.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/generated/TopologySummary.java,9,0,24,0,0,0,0,0,0,Yes
3,storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/hooks/BaseTaskHook.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/hooks/ITaskHook.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/hooks/info/BoltAckInfo.java,9,0,24,0,0,0,0,0,0,No
3,storm-core/src/jvm/backtype/storm/hooks/info/BoltExecuteInfo.java,9,0,24,0,0,0,0,0,0,No
